"년도","일차","출발시간","소요시간"
2013,0,0,91
2013,1,0,132
2013,2,0,83
2013,3,0,87
2013,4,0,84
2013,0,1,88
2013,1,1,129
2013,2,1,82
2013,3,1,85
2013,4,1,82
2013,0,2,88
2013,1,2,121
2013,2,2,102
2013,3,2,89
2013,4,2,78
2013,0,3,87
2013,1,3,124
2013,2,3,100
2013,3,3,84
2013,4,3,79
2013,0,4,91
2013,1,4,119
2013,2,4,93
2013,3,4,85
2013,4,4,84
2013,0,5,97
2013,1,5,118
2013,2,5,106
2013,3,5,81
2013,4,5,79
2013,0,6,96
2013,1,6,128
2013,2,6,100
2013,3,6,81
2013,4,6,80
2013,0,7,89
2013,1,7,133
2013,2,7,97
2013,3,7,80
2013,4,7,89
2013,0,8,90
2013,1,8,133
2013,2,8,94
2013,3,8,80
2013,4,8,87
2013,0,9,91
2013,1,9,149
2013,2,9,97
2013,3,9,86
2013,4,9,90
2013,0,10,91
2013,1,10,163
2013,2,10,95
2013,3,10,80
2013,4,10,90
2013,0,11,94
2013,1,11,166
2013,2,11,94
2013,3,11,85
2013,4,11,89
2013,0,12,101
2013,1,12,162
2013,2,12,99
2013,3,12,87
2013,4,12,89
2013,0,13,118
2013,1,13,137
2013,2,13,105
2013,3,13,92
2013,4,13,89
2013,0,14,115
2013,1,14,137
2013,2,14,108
2013,3,14,92
2013,4,14,91
2013,0,15,125
2013,1,15,123
2013,2,15,117
2013,3,15,93
2013,4,15,91
2013,0,16,136
2013,1,16,107
2013,2,16,121
2013,3,16,93
2013,4,16,88
2013,0,17,149
2013,1,17,106
2013,2,17,156
2013,3,17,94
2013,4,17,88
2013,0,18,167
2013,1,18,98
2013,2,18,160
2013,3,18,93
2013,4,18,91
2013,0,19,185
2013,1,19,93
2013,2,19,156
2013,3,19,94
2013,4,19,91
2013,0,20,202
2013,1,20,93
2013,2,20,145
2013,3,20,95
2013,4,20,87
2013,0,21,211
2013,1,21,91
2013,2,21,128
2013,3,21,92
2013,4,21,92
2013,0,22,212
2013,1,22,88
2013,2,22,116
2013,3,22,86
2013,4,22,91
2013,0,23,183
2013,1,23,89
2013,2,23,107
2013,3,23,85
2013,4,23,88
2014,0,0,84
2014,1,0,155
2014,2,0,81
2014,3,0,82
2014,4,0,80
2014,0,1,82
2014,1,1,158
2014,2,1,82
2014,3,1,82
2014,4,1,80
2014,0,2,82
2014,1,2,150
2014,2,2,83
2014,3,2,87
2014,4,2,83
2014,0,3,83
2014,1,3,146
2014,2,3,85
2014,3,3,83
2014,4,3,82
2014,0,4,80
2014,1,4,154
2014,2,4,87
2014,3,4,82
2014,4,4,85
2014,0,5,81
2014,1,5,148
2014,2,5,87
2014,3,5,82
2014,4,5,87
2014,0,6,83
2014,1,6,152
2014,2,6,89
2014,3,6,80
2014,4,6,84
2014,0,7,84
2014,1,7,168
2014,2,7,87
2014,3,7,80
2014,4,7,81
2014,0,8,85
2014,1,8,174
2014,2,8,90
2014,3,8,79
2014,4,8,81
2014,0,9,85
2014,1,9,177
2014,2,9,89
2014,3,9,79
2014,4,9,82
2014,0,10,87
2014,1,10,203
2014,2,10,87
2014,3,10,81
2014,4,10,84
2014,0,11,92
2014,1,11,205
2014,2,11,88
2014,3,11,82
2014,4,11,84
2014,0,12,102
2014,1,12,225
2014,2,12,97
2014,3,12,85
2014,4,12,87
2014,0,13,113
2014,1,13,216
2014,2,13,107
2014,3,13,88
2014,4,13,89
2014,0,14,125
2014,1,14,206
2014,2,14,119
2014,3,14,88
2014,4,14,91
2014,0,15,139
2014,1,15,187
2014,2,15,135
2014,3,15,89
2014,4,15,89
2014,0,16,142
2014,1,16,172
2014,2,16,146
2014,3,16,91
2014,4,16,92
2014,0,17,156
2014,1,17,157
2014,2,17,133
2014,3,17,94
2014,4,17,88
2014,0,18,186
2014,1,18,146
2014,2,18,144
2014,3,18,90
2014,4,18,95
2014,0,19,194
2014,1,19,134
2014,2,19,168
2014,3,19,98
2014,4,19,91
2014,0,20,222
2014,1,20,121
2014,2,20,161
2014,3,20,102
2014,4,20,85
2014,0,21,239
2014,1,21,110
2014,2,21,144
2014,3,21,90
2014,4,21,90
2014,0,22,222
2014,1,22,102
2014,2,22,127
2014,3,22,96
2014,4,22,87
2014,0,23,229
2014,1,23,99
2014,2,23,114
2014,3,23,87
2014,4,23,85
2015,0,0,97
2015,1,0,219
2015,2,0,84
2015,3,0,96
2015,4,0,81
2015,0,1,81
2015,1,1,201
2015,2,1,85
2015,3,1,92
2015,4,1,81
2015,0,2,83
2015,1,2,188
2015,2,2,83
2015,3,2,84
2015,4,2,81
2015,0,3,92
2015,1,3,173
2015,2,3,90
2015,3,3,91
2015,4,3,79
2015,0,4,82
2015,1,4,178
2015,2,4,87
2015,3,4,89
2015,4,4,84
2015,0,5,83
2015,1,5,166
2015,2,5,88
2015,3,5,92
2015,4,5,79
2015,0,6,101
2015,1,6,157
2015,2,6,89
2015,3,6,85
2015,4,6,81
2015,0,7,96
2015,1,7,181
2015,2,7,89
2015,3,7,87
2015,4,7,83
2015,0,8,93
2015,1,8,171
2015,2,8,94
2015,3,8,84
2015,4,8,83
2015,0,9,86
2015,1,9,182
2015,2,9,94
2015,3,9,89
2015,4,9,85
2015,0,10,93
2015,1,10,203
2015,2,10,99
2015,3,10,88
2015,4,10,86
2015,0,11,90
2015,1,11,215
2015,2,11,103
2015,3,11,89
2015,4,11,84
2015,0,12,112
2015,1,12,242
2015,2,12,113
2015,3,12,92
2015,4,12,88
2015,0,13,113
2015,1,13,251
2015,2,13,128
2015,3,13,103
2015,4,13,92
2015,0,14,126
2015,1,14,243
2015,2,14,143
2015,3,14,103
2015,4,14,88
2015,0,15,139
2015,1,15,203
2015,2,15,158
2015,3,15,99
2015,4,15,94
2015,0,16,151
2015,1,16,196
2015,2,16,147
2015,3,16,96
2015,4,16,94
2015,0,17,167
2015,1,17,182
2015,2,17,183
2015,3,17,93
2015,4,17,93
2015,0,18,176
2015,1,18,171
2015,2,18,200
2015,3,18,93
2015,4,18,87
2015,0,19,187
2015,1,19,160
2015,2,19,184
2015,3,19,90
2015,4,19,92
2015,0,20,227
2015,1,20,144
2015,2,20,206
2015,3,20,89
2015,4,20,90
2015,0,21,243
2015,1,21,126
2015,2,21,192
2015,3,21,87
2015,4,21,90
2015,0,22,249
2015,1,22,113
2015,2,22,165
2015,3,22,85
2015,4,22,88
2015,0,23,246
2015,1,23,104
2015,2,23,141
2015,3,23,85
2015,4,23,88
2016,0,0,89
2016,1,0,84
2016,2,0,88
2016,3,0,82
2016,4,0,81
2016,0,1,86
2016,1,1,84
2016,2,1,88
2016,3,1,78
2016,4,1,85
2016,0,2,79
2016,1,2,88
2016,2,2,93
2016,3,2,92
2016,4,2,85
2016,0,3,99
2016,1,3,87
2016,2,3,92
2016,3,3,80
2016,4,3,81
2016,0,4,80
2016,1,4,91
2016,2,4,86
2016,3,4,93
2016,4,4,88
2016,0,5,95
2016,1,5,89
2016,2,5,90
2016,3,5,92
2016,4,5,96
2016,0,6,77
2016,1,6,98
2016,2,6,95
2016,3,6,90
2016,4,6,97
2016,0,7,89
2016,1,7,101
2016,2,7,95
2016,3,7,90
2016,4,7,84
2016,0,8,82
2016,1,8,104
2016,2,8,100
2016,3,8,93
2016,4,8,82
2016,0,9,83
2016,1,9,111
2016,2,9,105
2016,3,9,92
2016,4,9,82
2016,0,10,86
2016,1,10,115
2016,2,10,101
2016,3,10,91
2016,4,10,83
2016,0,11,88
2016,1,11,109
2016,2,11,107
2016,3,11,91
2016,4,11,82
2016,0,12,89
2016,1,12,113
2016,2,12,111
2016,3,12,104
2016,4,12,86
2016,0,13,95
2016,1,13,123
2016,2,13,112
2016,3,13,118
2016,4,13,92
2016,0,14,102
2016,1,14,124
2016,2,14,105
2016,3,14,133
2016,4,14,95
2016,0,15,129
2016,1,15,123
2016,2,15,114
2016,3,15,150
2016,4,15,94
2016,0,16,118
2016,1,16,127
2016,2,16,117
2016,3,16,142
2016,4,16,93
2016,0,17,124
2016,1,17,127
2016,2,17,110
2016,3,17,180
2016,4,17,93
2016,0,18,133
2016,1,18,116
2016,2,18,118
2016,3,18,192
2016,4,18,91
2016,0,19,138
2016,1,19,127
2016,2,19,112
2016,3,19,192
2016,4,19,86
2016,0,20,134
2016,1,20,120
2016,2,20,104
2016,3,20,187
2016,4,20,84
2016,0,21,117
2016,1,21,114
2016,2,21,98
2016,3,21,164
2016,4,21,87
2016,0,22,110
2016,1,22,107
2016,2,22,94
2016,3,22,141
2016,4,22,85
2016,0,23,111
2016,1,23,102
2016,2,23,90
2016,3,23,124
2016,4,23,81
2017,0,0,85
2017,1,0,154
2017,2,0,79
2017,3,0,81
2017,4,0,84
2017,0,1,89
2017,1,1,149
2017,2,1,80
2017,3,1,80
2017,4,1,87
2017,0,2,91
2017,1,2,143
2017,2,2,77
2017,3,2,89
2017,4,2,89
2017,0,3,94
2017,1,3,162
2017,2,3,79
2017,3,3,87
2017,4,3,95
2017,0,4,93
2017,1,4,149
2017,2,4,79
2017,3,4,86
2017,4,4,92
2017,0,5,86
2017,1,5,165
2017,2,5,78
2017,3,5,83
2017,4,5,106
2017,0,6,91
2017,1,6,157
2017,2,6,84
2017,3,6,85
2017,4,6,95
2017,0,7,81
2017,1,7,170
2017,2,7,87
2017,3,7,80
2017,4,7,83
2017,0,8,83
2017,1,8,158
2017,2,8,92
2017,3,8,80
2017,4,8,84
2017,0,9,85
2017,1,9,144
2017,2,9,93
2017,3,9,80
2017,4,9,90
2017,0,10,92
2017,1,10,164
2017,2,10,90
2017,3,10,81
2017,4,10,82
2017,0,11,104
2017,1,11,152
2017,2,11,89
2017,3,11,83
2017,4,11,90
2017,0,12,102
2017,1,12,150
2017,2,12,100
2017,3,12,84
2017,4,12,83
2017,0,13,111
2017,1,13,144
2017,2,13,111
2017,3,13,86
2017,4,13,84
2017,0,14,124
2017,1,14,148
2017,2,14,123
2017,3,14,89
2017,4,14,93
2017,0,15,139
2017,1,15,139
2017,2,15,141
2017,3,15,93
2017,4,15,94
2017,0,16,139
2017,1,16,122
2017,2,16,150
2017,3,16,99
2017,4,16,93
2017,0,17,165
2017,1,17,129
2017,2,17,156
2017,3,17,100
2017,4,17,92
2017,0,18,183
2017,1,18,110
2017,2,18,160
2017,3,18,101
2017,4,18,90
2017,0,19,195
2017,1,19,113
2017,2,19,155
2017,3,19,99
2017,4,19,87
2017,0,20,185
2017,1,20,107
2017,2,20,144
2017,3,20,100
2017,4,20,84
2017,0,21,192
2017,1,21,100
2017,2,21,128
2017,3,21,98
2017,4,21,84
2017,0,22,212
2017,1,22,94
2017,2,22,115
2017,3,22,90
2017,4,22,86
2017,0,23,207
2017,1,23,90
2017,2,23,108
2017,3,23,93
2017,4,23,85
2018,0,0,91
2018,1,0,123
2018,2,0,76
2018,3,0,86
2018,4,0,76
2018,0,1,87
2018,1,1,135
2018,2,1,87
2018,3,1,84
2018,4,1,86
2018,0,2,88
2018,1,2,133
2018,2,2,90
2018,3,2,83
2018,4,2,75
2018,0,3,90
2018,1,3,146
2018,2,3,85
2018,3,3,89
2018,4,3,91
2018,0,4,86
2018,1,4,138
2018,2,4,82
2018,3,4,82
2018,4,4,87
2018,0,5,86
2018,1,5,131
2018,2,5,85
2018,3,5,82
2018,4,5,85
2018,0,6,86
2018,1,6,143
2018,2,6,101
2018,3,6,86
2018,4,6,84
2018,0,7,83
2018,1,7,163
2018,2,7,92
2018,3,7,79
2018,4,7,82
2018,0,8,85
2018,1,8,145
2018,2,8,94
2018,3,8,80
2018,4,8,80
2018,0,9,87
2018,1,9,156
2018,2,9,97
2018,3,9,81
2018,4,9,80
2018,0,10,87
2018,1,10,166
2018,2,10,95
2018,3,10,84
2018,4,10,80
2018,0,11,91
2018,1,11,191
2018,2,11,98
2018,3,11,83
2018,4,11,81
2018,0,12,103
2018,1,12,205
2018,2,12,107
2018,3,12,88
2018,4,12,81
2018,0,13,103
2018,1,13,187
2018,2,13,109
2018,3,13,89
2018,4,13,87
2018,0,14,118
2018,1,14,191
2018,2,14,129
2018,3,14,92
2018,4,14,91
2018,0,15,119
2018,1,15,181
2018,2,15,134
2018,3,15,93
2018,4,15,89
2018,0,16,131
2018,1,16,169
2018,2,16,147
2018,3,16,95
2018,4,16,88
2018,0,17,145
2018,1,17,160
2018,2,17,155
2018,3,17,96
2018,4,17,88
2018,0,18,158
2018,1,18,148
2018,2,18,154
2018,3,18,92
2018,4,18,90
2018,0,19,170
2018,1,19,133
2018,2,19,148
2018,3,19,91
2018,4,19,90
2018,0,20,160
2018,1,20,120
2018,2,20,133
2018,3,20,88
2018,4,20,91
2018,0,21,177
2018,1,21,112
2018,2,21,119
2018,3,21,85
2018,4,21,90
2018,0,22,176
2018,1,22,104
2018,2,22,111
2018,3,22,88
2018,4,22,88
2018,0,23,168
2018,1,23,99
2018,2,23,102
2018,3,23,84
2018,4,23,87
2019,0,0,78
2019,1,0,84
2019,2,0,88
2019,3,0,85
2019,4,0,95
2019,0,1,82
2019,1,1,84
2019,2,1,87
2019,3,1,86
2019,4,1,91
2019,0,2,75
2019,1,2,84
2019,2,2,87
2019,3,2,90
2019,4,2,83
2019,0,3,82
2019,1,3,82
2019,2,3,86
2019,3,3,88
2019,4,3,79
2019,0,4,87
2019,1,4,87
2019,2,4,93
2019,3,4,84
2019,4,4,79
2019,0,5,89
2019,1,5,97
2019,2,5,89
2019,3,5,91
2019,4,5,79
2019,0,6,89
2019,1,6,93
2019,2,6,92
2019,3,6,94
2019,4,6,85
2019,0,7,84
2019,1,7,97
2019,2,7,104
2019,3,7,96
2019,4,7,90
2019,0,8,85
2019,1,8,102
2019,2,8,102
2019,3,8,99
2019,4,8,90
2019,0,9,86
2019,1,9,104
2019,2,9,99
2019,3,9,106
2019,4,9,93
2019,0,10,84
2019,1,10,108
2019,2,10,104
2019,3,10,111
2019,4,10,93
2019,0,11,86
2019,1,11,112
2019,2,11,110
2019,3,11,112
2019,4,11,96
2019,0,12,85
2019,1,12,105
2019,2,12,125
2019,3,12,108
2019,4,12,109
2019,0,13,122
2019,1,13,106
2019,2,13,121
2019,3,13,122
2019,4,13,118
2019,0,14,94
2019,1,14,116
2019,2,14,127
2019,3,14,112
2019,4,14,125
2019,0,15,91
2019,1,15,107
2019,2,15,144
2019,3,15,124
2019,4,15,116
2019,0,16,93
2019,1,16,105
2019,2,16,133
2019,3,16,117
2019,4,16,136
2019,0,17,102
2019,1,17,112
2019,2,17,148
2019,3,17,111
2019,4,17,141
2019,0,18,114
2019,1,18,103
2019,2,18,144
2019,3,18,104
2019,4,18,140
2019,0,19,118
2019,1,19,108
2019,2,19,142
2019,3,19,101
2019,4,19,131
2019,0,20,114
2019,1,20,95
2019,2,20,129
2019,3,20,95
2019,4,20,121
2019,0,21,105
2019,1,21,92
2019,2,21,110
2019,3,21,92
2019,4,21,112
2019,0,22,103
2019,1,22,94
2019,2,22,114
2019,3,22,91
2019,4,22,103
2019,0,23,102
2019,1,23,91
2019,2,23,105
2019,3,23,88
2019,4,23,97
2020,0,0,77
2020,1,0,121
2020,2,0,86
2020,3,0,94
2020,4,0,80
2020,0,1,79
2020,1,1,125
2020,2,1,89
2020,3,1,92
2020,4,1,79
2020,0,2,79
2020,1,2,139
2020,2,2,89
2020,3,2,88
2020,4,2,99
2020,0,3,87
2020,1,3,143
2020,2,3,93
2020,3,3,91
2020,4,3,84
2020,0,4,87
2020,1,4,131
2020,2,4,86
2020,3,4,88
2020,4,4,82
2020,0,5,89
2020,1,5,147
2020,2,5,89
2020,3,5,82
2020,4,5,83
2020,0,6,89
2020,1,6,153
2020,2,6,91
2020,3,6,82
2020,4,6,78
2020,0,7,88
2020,1,7,155
2020,2,7,93
2020,3,7,89
2020,4,7,80
2020,0,8,93
2020,1,8,150
2020,2,8,99
2020,3,8,83
2020,4,8,84
2020,0,9,97
2020,1,9,159
2020,2,9,94
2020,3,9,87
2020,4,9,79
2020,0,10,93
2020,1,10,177
2020,2,10,94
2020,3,10,85
2020,4,10,81
2020,0,11,94
2020,1,11,188
2020,2,11,102
2020,3,11,83
2020,4,11,84
2020,0,12,104
2020,1,12,194
2020,2,12,112
2020,3,12,89
2020,4,12,85
2020,0,13,106
2020,1,13,196
2020,2,13,111
2020,3,13,93
2020,4,13,86
2020,0,14,115
2020,1,14,172
2020,2,14,127
2020,3,14,96
2020,4,14,87
2020,0,15,121
2020,1,15,170
2020,2,15,127
2020,3,15,98
2020,4,15,91
2020,0,16,129
2020,1,16,153
2020,2,16,145
2020,3,16,99
2020,4,16,86
2020,0,17,149
2020,1,17,142
2020,2,17,139
2020,3,17,100
2020,4,17,92
2020,0,18,153
2020,1,18,130
2020,2,18,152
2020,3,18,98
2020,4,18,94
2020,0,19,162
2020,1,19,117
2020,2,19,147
2020,3,19,97
2020,4,19,89
2020,0,20,180
2020,1,20,108
2020,2,20,132
2020,3,20,93
2020,4,20,94
2020,0,21,195
2020,1,21,102
2020,2,21,118
2020,3,21,89
2020,4,21,95
2020,0,22,167
2020,1,22,97
2020,2,22,108
2020,3,22,87
2020,4,22,97
2020,0,23,179
2020,1,23,90
2020,2,23,102
2020,3,23,89
2020,4,23,94
