일차,출발시간,소요시간,날짜,눈비
0,0,85,2017-01-26,TRUE
1,0,154,2017-01-27,TRUE
2,0,79,2017-01-28,FALSE
3,0,81,2017-01-29,FALSE
4,0,84,2017-01-30,TRUE
0,1,89,2017-01-26,TRUE
1,1,149,2017-01-27,FALSE
2,1,80,2017-01-28,FALSE
3,1,80,2017-01-29,FALSE
4,1,87,2017-01-30,TRUE
0,2,91,2017-01-26,TRUE
1,2,143,2017-01-27,FALSE
2,2,77,2017-01-28,FALSE
3,2,89,2017-01-29,FALSE
4,2,89,2017-01-30,TRUE
0,3,94,2017-01-26,TRUE
1,3,162,2017-01-27,TRUE
2,3,79,2017-01-28,FALSE
3,3,87,2017-01-29,FALSE
4,3,95,2017-01-30,TRUE
0,4,93,2017-01-26,TRUE
1,4,149,2017-01-27,FALSE
2,4,79,2017-01-28,FALSE
3,4,86,2017-01-29,FALSE
4,4,92,2017-01-30,TRUE
0,5,86,2017-01-26,TRUE
1,5,165,2017-01-27,FALSE
2,5,78,2017-01-28,FALSE
3,5,83,2017-01-29,FALSE
4,5,106,2017-01-30,TRUE
0,6,91,2017-01-26,TRUE
1,6,157,2017-01-27,FALSE
2,6,84,2017-01-28,FALSE
3,6,85,2017-01-29,FALSE
4,6,95,2017-01-30,TRUE
0,7,81,2017-01-26,TRUE
1,7,170,2017-01-27,FALSE
2,7,87,2017-01-28,FALSE
3,7,80,2017-01-29,FALSE
4,7,83,2017-01-30,TRUE
0,8,83,2017-01-26,TRUE
1,8,158,2017-01-27,FALSE
2,8,92,2017-01-28,FALSE
3,8,80,2017-01-29,FALSE
4,8,84,2017-01-30,TRUE
0,9,85,2017-01-26,TRUE
1,9,144,2017-01-27,FALSE
2,9,93,2017-01-28,FALSE
3,9,80,2017-01-29,FALSE
4,9,90,2017-01-30,TRUE
0,10,92,2017-01-26,TRUE
1,10,164,2017-01-27,FALSE
2,10,90,2017-01-28,FALSE
3,10,81,2017-01-29,FALSE
4,10,82,2017-01-30,TRUE
0,11,104,2017-01-26,TRUE
1,11,152,2017-01-27,FALSE
2,11,89,2017-01-28,FALSE
3,11,83,2017-01-29,FALSE
4,11,90,2017-01-30,TRUE
0,12,102,2017-01-26,TRUE
1,12,150,2017-01-27,FALSE
2,12,100,2017-01-28,FALSE
3,12,84,2017-01-29,TRUE
4,12,83,2017-01-30,TRUE
0,13,111,2017-01-26,TRUE
1,13,144,2017-01-27,FALSE
2,13,111,2017-01-28,FALSE
3,13,86,2017-01-29,FALSE
4,13,84,2017-01-30,TRUE
0,14,124,2017-01-26,TRUE
1,14,148,2017-01-27,FALSE
2,14,123,2017-01-28,FALSE
3,14,89,2017-01-29,FALSE
4,14,93,2017-01-30,TRUE
0,15,139,2017-01-26,TRUE
1,15,139,2017-01-27,FALSE
2,15,141,2017-01-28,FALSE
3,15,93,2017-01-29,TRUE
4,15,94,2017-01-30,TRUE
0,16,139,2017-01-26,TRUE
1,16,122,2017-01-27,FALSE
2,16,150,2017-01-28,FALSE
3,16,99,2017-01-29,FALSE
4,16,93,2017-01-30,TRUE
0,17,165,2017-01-26,TRUE
1,17,129,2017-01-27,FALSE
2,17,156,2017-01-28,FALSE
3,17,100,2017-01-29,TRUE
4,17,92,2017-01-30,TRUE
0,18,183,2017-01-26,TRUE
1,18,110,2017-01-27,FALSE
2,18,160,2017-01-28,FALSE
3,18,101,2017-01-29,TRUE
4,18,90,2017-01-30,TRUE
0,19,195,2017-01-26,TRUE
1,19,113,2017-01-27,FALSE
2,19,155,2017-01-28,FALSE
3,19,99,2017-01-29,TRUE
4,19,87,2017-01-30,TRUE
0,20,185,2017-01-26,TRUE
1,20,107,2017-01-27,FALSE
2,20,144,2017-01-28,FALSE
3,20,100,2017-01-29,TRUE
4,20,84,2017-01-30,TRUE
0,21,192,2017-01-26,TRUE
1,21,100,2017-01-27,FALSE
2,21,128,2017-01-28,FALSE
3,21,98,2017-01-29,TRUE
4,21,84,2017-01-30,TRUE
0,22,212,2017-01-26,TRUE
1,22,94,2017-01-27,FALSE
2,22,115,2017-01-28,FALSE
3,22,90,2017-01-29,TRUE
4,22,86,2017-01-30,TRUE
0,23,207,2017-01-26,TRUE
1,23,90,2017-01-27,FALSE
2,23,108,2017-01-28,FALSE
3,23,93,2017-01-29,TRUE
4,23,85,2017-01-30,TRUE
0,0,91,2018-02-14,FALSE
1,0,123,2018-02-15,FALSE
2,0,76,2018-02-16,FALSE
3,0,86,2018-02-17,FALSE
4,0,76,2018-02-18,FALSE
0,1,87,2018-02-14,FALSE
1,1,135,2018-02-15,FALSE
2,1,87,2018-02-16,FALSE
3,1,84,2018-02-17,FALSE
4,1,86,2018-02-18,FALSE
0,2,88,2018-02-14,FALSE
1,2,133,2018-02-15,FALSE
2,2,90,2018-02-16,FALSE
3,2,83,2018-02-17,FALSE
4,2,75,2018-02-18,FALSE
0,3,90,2018-02-14,FALSE
1,3,146,2018-02-15,FALSE
2,3,85,2018-02-16,FALSE
3,3,89,2018-02-17,FALSE
4,3,91,2018-02-18,FALSE
0,4,86,2018-02-14,FALSE
1,4,138,2018-02-15,FALSE
2,4,82,2018-02-16,FALSE
3,4,82,2018-02-17,FALSE
4,4,87,2018-02-18,FALSE
0,5,86,2018-02-14,FALSE
1,5,131,2018-02-15,FALSE
2,5,85,2018-02-16,FALSE
3,5,82,2018-02-17,FALSE
4,5,85,2018-02-18,FALSE
0,6,86,2018-02-14,FALSE
1,6,143,2018-02-15,FALSE
2,6,101,2018-02-16,FALSE
3,6,86,2018-02-17,FALSE
4,6,84,2018-02-18,FALSE
0,7,83,2018-02-14,FALSE
1,7,163,2018-02-15,FALSE
2,7,92,2018-02-16,FALSE
3,7,79,2018-02-17,FALSE
4,7,82,2018-02-18,FALSE
0,8,85,2018-02-14,FALSE
1,8,145,2018-02-15,FALSE
2,8,94,2018-02-16,FALSE
3,8,80,2018-02-17,FALSE
4,8,80,2018-02-18,FALSE
0,9,87,2018-02-14,FALSE
1,9,156,2018-02-15,FALSE
2,9,97,2018-02-16,FALSE
3,9,81,2018-02-17,FALSE
4,9,80,2018-02-18,FALSE
0,10,87,2018-02-14,FALSE
1,10,166,2018-02-15,FALSE
2,10,95,2018-02-16,FALSE
3,10,84,2018-02-17,FALSE
4,10,80,2018-02-18,FALSE
0,11,91,2018-02-14,FALSE
1,11,191,2018-02-15,FALSE
2,11,98,2018-02-16,FALSE
3,11,83,2018-02-17,FALSE
4,11,81,2018-02-18,FALSE
0,12,103,2018-02-14,FALSE
1,12,205,2018-02-15,FALSE
2,12,107,2018-02-16,FALSE
3,12,88,2018-02-17,FALSE
4,12,81,2018-02-18,FALSE
0,13,103,2018-02-14,FALSE
1,13,187,2018-02-15,FALSE
2,13,109,2018-02-16,FALSE
3,13,89,2018-02-17,FALSE
4,13,87,2018-02-18,FALSE
0,14,118,2018-02-14,FALSE
1,14,191,2018-02-15,FALSE
2,14,129,2018-02-16,FALSE
3,14,92,2018-02-17,FALSE
4,14,91,2018-02-18,FALSE
0,15,119,2018-02-14,FALSE
1,15,181,2018-02-15,FALSE
2,15,134,2018-02-16,FALSE
3,15,93,2018-02-17,FALSE
4,15,89,2018-02-18,FALSE
0,16,131,2018-02-14,FALSE
1,16,169,2018-02-15,FALSE
2,16,147,2018-02-16,FALSE
3,16,95,2018-02-17,FALSE
4,16,88,2018-02-18,FALSE
0,17,145,2018-02-14,FALSE
1,17,160,2018-02-15,FALSE
2,17,155,2018-02-16,FALSE
3,17,96,2018-02-17,FALSE
4,17,88,2018-02-18,FALSE
0,18,158,2018-02-14,FALSE
1,18,148,2018-02-15,FALSE
2,18,154,2018-02-16,FALSE
3,18,92,2018-02-17,FALSE
4,18,90,2018-02-18,FALSE
0,19,170,2018-02-14,FALSE
1,19,133,2018-02-15,FALSE
2,19,148,2018-02-16,FALSE
3,19,91,2018-02-17,FALSE
4,19,90,2018-02-18,FALSE
0,20,160,2018-02-14,FALSE
1,20,120,2018-02-15,FALSE
2,20,133,2018-02-16,FALSE
3,20,88,2018-02-17,FALSE
4,20,91,2018-02-18,FALSE
0,21,177,2018-02-14,FALSE
1,21,112,2018-02-15,FALSE
2,21,119,2018-02-16,FALSE
3,21,85,2018-02-17,FALSE
4,21,90,2018-02-18,FALSE
0,22,176,2018-02-14,FALSE
1,22,104,2018-02-15,FALSE
2,22,111,2018-02-16,FALSE
3,22,88,2018-02-17,FALSE
4,22,88,2018-02-18,FALSE
0,23,168,2018-02-14,FALSE
1,23,99,2018-02-15,FALSE
2,23,102,2018-02-16,FALSE
3,23,84,2018-02-17,FALSE
4,23,87,2018-02-18,FALSE
0,0,78,2019-02-01,FALSE
1,0,84,2019-02-02,TRUE
2,0,95,2019-02-05,FALSE
3,0,80,2019-02-06,FALSE
4,0,81,2019-02-07,FALSE
0,1,82,2019-02-01,FALSE
1,1,84,2019-02-02,TRUE
2,1,91,2019-02-05,FALSE
3,1,79,2019-02-06,FALSE
4,1,80,2019-02-07,FALSE
0,2,75,2019-02-01,FALSE
1,2,84,2019-02-02,TRUE
2,2,83,2019-02-05,FALSE
3,2,81,2019-02-06,FALSE
4,2,83,2019-02-07,FALSE
0,3,82,2019-02-01,FALSE
1,3,82,2019-02-02,TRUE
2,3,79,2019-02-05,FALSE
3,3,78,2019-02-06,FALSE
4,3,84,2019-02-07,FALSE
0,4,87,2019-02-01,FALSE
1,4,87,2019-02-02,TRUE
2,4,79,2019-02-05,FALSE
3,4,96,2019-02-06,FALSE
4,4,85,2019-02-07,FALSE
0,5,89,2019-02-01,FALSE
1,5,97,2019-02-02,TRUE
2,5,79,2019-02-05,FALSE
3,5,73,2019-02-06,FALSE
4,5,87,2019-02-07,FALSE
0,6,89,2019-02-01,FALSE
1,6,93,2019-02-02,TRUE
2,6,85,2019-02-05,FALSE
3,6,78,2019-02-06,FALSE
4,6,77,2019-02-07,TRUE
0,7,84,2019-02-01,FALSE
1,7,97,2019-02-02,TRUE
2,7,90,2019-02-05,FALSE
3,7,78,2019-02-06,FALSE
4,7,88,2019-02-07,FALSE
0,8,85,2019-02-01,FALSE
1,8,102,2019-02-02,TRUE
2,8,90,2019-02-05,FALSE
3,8,77,2019-02-06,FALSE
4,8,89,2019-02-07,FALSE
0,9,86,2019-02-01,FALSE
1,9,104,2019-02-02,TRUE
2,9,93,2019-02-05,FALSE
3,9,80,2019-02-06,FALSE
4,9,88,2019-02-07,FALSE
0,10,84,2019-02-01,FALSE
1,10,108,2019-02-02,TRUE
2,10,93,2019-02-05,FALSE
3,10,81,2019-02-06,FALSE
4,10,86,2019-02-07,FALSE
0,11,86,2019-02-01,FALSE
1,11,112,2019-02-02,FALSE
2,11,96,2019-02-05,FALSE
3,11,81,2019-02-06,FALSE
4,11,90,2019-02-07,FALSE
0,12,85,2019-02-01,FALSE
1,12,105,2019-02-02,FALSE
2,12,109,2019-02-05,FALSE
3,12,82,2019-02-06,FALSE
4,12,91,2019-02-07,FALSE
0,13,122,2019-02-01,FALSE
1,13,106,2019-02-02,FALSE
2,13,118,2019-02-05,FALSE
3,13,86,2019-02-06,FALSE
4,13,92,2019-02-07,FALSE
0,14,94,2019-02-01,FALSE
1,14,116,2019-02-02,FALSE
2,14,125,2019-02-05,FALSE
3,14,90,2019-02-06,FALSE
4,14,90,2019-02-07,FALSE
0,15,91,2019-02-01,FALSE
1,15,107,2019-02-02,FALSE
2,15,116,2019-02-05,FALSE
3,15,93,2019-02-06,FALSE
4,15,84,2019-02-07,FALSE
0,16,93,2019-02-01,FALSE
1,16,105,2019-02-02,FALSE
2,16,136,2019-02-05,FALSE
3,16,95,2019-02-06,FALSE
4,16,84,2019-02-07,FALSE
0,17,102,2019-02-01,FALSE
1,17,112,2019-02-02,FALSE
2,17,141,2019-02-05,FALSE
3,17,98,2019-02-06,FALSE
4,17,86,2019-02-07,FALSE
0,18,114,2019-02-01,FALSE
1,18,103,2019-02-02,FALSE
2,18,140,2019-02-05,FALSE
3,18,96,2019-02-06,FALSE
4,18,88,2019-02-07,FALSE
0,19,118,2019-02-01,TRUE
1,19,108,2019-02-02,FALSE
2,19,131,2019-02-05,FALSE
3,19,93,2019-02-06,FALSE
4,19,87,2019-02-07,FALSE
0,20,114,2019-02-01,TRUE
1,20,95,2019-02-02,FALSE
2,20,121,2019-02-05,FALSE
3,20,91,2019-02-06,FALSE
4,20,87,2019-02-07,FALSE
0,21,105,2019-02-01,TRUE
1,21,92,2019-02-02,FALSE
2,21,112,2019-02-05,FALSE
3,21,92,2019-02-06,FALSE
4,21,83,2019-02-07,FALSE
0,22,103,2019-02-01,TRUE
1,22,94,2019-02-02,FALSE
2,22,103,2019-02-05,FALSE
3,22,90,2019-02-06,FALSE
4,22,85,2019-02-07,FALSE
0,23,102,2019-02-01,TRUE
1,23,91,2019-02-02,FALSE
2,23,97,2019-02-05,FALSE
3,23,87,2019-02-06,FALSE
4,23,82,2019-02-07,FALSE
0,0,77,2020-01-23,FALSE
1,0,121,2020-01-24,FALSE
2,0,86,2020-01-25,FALSE
3,0,94,2020-01-26,FALSE
4,0,80,2020-01-27,FALSE
0,1,79,2020-01-23,FALSE
1,1,125,2020-01-24,FALSE
2,1,89,2020-01-25,FALSE
3,1,92,2020-01-26,FALSE
4,1,79,2020-01-27,FALSE
0,2,79,2020-01-23,FALSE
1,2,139,2020-01-24,FALSE
2,2,89,2020-01-25,FALSE
3,2,88,2020-01-26,FALSE
4,2,99,2020-01-27,FALSE
0,3,87,2020-01-23,FALSE
1,3,143,2020-01-24,FALSE
2,3,93,2020-01-25,FALSE
3,3,91,2020-01-26,FALSE
4,3,84,2020-01-27,FALSE
0,4,87,2020-01-23,FALSE
1,4,131,2020-01-24,FALSE
2,4,86,2020-01-25,FALSE
3,4,88,2020-01-26,FALSE
4,4,82,2020-01-27,FALSE
0,5,89,2020-01-23,FALSE
1,5,147,2020-01-24,FALSE
2,5,89,2020-01-25,FALSE
3,5,82,2020-01-26,FALSE
4,5,83,2020-01-27,FALSE
0,6,89,2020-01-23,FALSE
1,6,153,2020-01-24,FALSE
2,6,91,2020-01-25,FALSE
3,6,82,2020-01-26,FALSE
4,6,78,2020-01-27,FALSE
0,7,88,2020-01-23,FALSE
1,7,155,2020-01-24,FALSE
2,7,93,2020-01-25,FALSE
3,7,89,2020-01-26,FALSE
4,7,80,2020-01-27,FALSE
0,8,93,2020-01-23,FALSE
1,8,150,2020-01-24,FALSE
2,8,99,2020-01-25,FALSE
3,8,83,2020-01-26,FALSE
4,8,84,2020-01-27,FALSE
0,9,97,2020-01-23,FALSE
1,9,159,2020-01-24,FALSE
2,9,94,2020-01-25,FALSE
3,9,87,2020-01-26,FALSE
4,9,79,2020-01-27,FALSE
0,10,93,2020-01-23,FALSE
1,10,177,2020-01-24,FALSE
2,10,94,2020-01-25,FALSE
3,10,85,2020-01-26,FALSE
4,10,81,2020-01-27,FALSE
0,11,94,2020-01-23,FALSE
1,11,188,2020-01-24,FALSE
2,11,102,2020-01-25,FALSE
3,11,83,2020-01-26,FALSE
4,11,84,2020-01-27,FALSE
0,12,104,2020-01-23,FALSE
1,12,194,2020-01-24,FALSE
2,12,112,2020-01-25,FALSE
3,12,89,2020-01-26,FALSE
4,12,85,2020-01-27,FALSE
0,13,106,2020-01-23,FALSE
1,13,196,2020-01-24,FALSE
2,13,111,2020-01-25,FALSE
3,13,93,2020-01-26,FALSE
4,13,86,2020-01-27,FALSE
0,14,115,2020-01-23,FALSE
1,14,172,2020-01-24,FALSE
2,14,127,2020-01-25,FALSE
3,14,96,2020-01-26,FALSE
4,14,87,2020-01-27,FALSE
0,15,121,2020-01-23,FALSE
1,15,170,2020-01-24,FALSE
2,15,127,2020-01-25,FALSE
3,15,98,2020-01-26,FALSE
4,15,91,2020-01-27,FALSE
0,16,129,2020-01-23,FALSE
1,16,153,2020-01-24,FALSE
2,16,145,2020-01-25,FALSE
3,16,99,2020-01-26,FALSE
4,16,86,2020-01-27,FALSE
0,17,149,2020-01-23,FALSE
1,17,142,2020-01-24,FALSE
2,17,139,2020-01-25,FALSE
3,17,100,2020-01-26,FALSE
4,17,92,2020-01-27,FALSE
0,18,153,2020-01-23,FALSE
1,18,130,2020-01-24,FALSE
2,18,152,2020-01-25,FALSE
3,18,98,2020-01-26,FALSE
4,18,94,2020-01-27,FALSE
0,19,162,2020-01-23,FALSE
1,19,117,2020-01-24,FALSE
2,19,147,2020-01-25,FALSE
3,19,97,2020-01-26,FALSE
4,19,89,2020-01-27,FALSE
0,20,180,2020-01-23,FALSE
1,20,108,2020-01-24,FALSE
2,20,132,2020-01-25,FALSE
3,20,93,2020-01-26,FALSE
4,20,94,2020-01-27,FALSE
0,21,195,2020-01-23,FALSE
1,21,102,2020-01-24,FALSE
2,21,118,2020-01-25,FALSE
3,21,89,2020-01-26,FALSE
4,21,95,2020-01-27,FALSE
0,22,167,2020-01-23,FALSE
1,22,97,2020-01-24,FALSE
2,22,108,2020-01-25,FALSE
3,22,87,2020-01-26,FALSE
4,22,97,2020-01-27,FALSE
0,23,179,2020-01-23,FALSE
1,23,90,2020-01-24,FALSE
2,23,102,2020-01-25,FALSE
3,23,89,2020-01-26,FALSE
4,23,94,2020-01-27,FALSE